,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,Indicadora
0,Afghanistan,17,1,19,0,23323000,40.58,177,5,31.9,27,45.1,55.3,47,78.2,60463000,0,0,1.92613064,52,10,396,40,66.3,62.1,70.3,35.5,91.1,87.4,94.6,67399,4300,36242,94261,36.3,51.1111,73.3333,5,93356000,10075000,49265000,0,0,0,0,0,28796000,13248000,11198000,122152000,23323000,60463000,0,0,0,0,0,0,122152000,0,0,11,9,0,27.71084337,0.5,40,3,9,20,353,1642,114,250,7,275,2,36.3,Mal
1,Albania,10,9,10.4,6,350193000,60.5,97,44,93.2,90.2,95.5,95.1,95.2,94.9,67325000,0,18.8,0.053360538,1900,3,29,50,12.5,11.2,13.7,6.2,14,12.5,15.3,564,11,279,618,3.6,72.22223333,66.6667,0,63421000,137095000,10959000,364230000,27521000,37376000,40916000,5636000,156997000,157102000,23108000,220418000,294197000,34067000,6252000,15080000,101000,407858000,55996000,33258000,628276000,0,0,14.27837299,6,14.1,20.71428571,27.1,100,6,7,34,160.9831932,525,177,22,5.5,357,2,36.5,Bien
2,Algeria,14,4,10.9,0,81867000,45.72,163,40,87.6,82.2,89.8,83.6,81.8,84.3,21832000,0,30.6,0.41934133,240,13,140,50,21.9,20.5,23.2,15.5,25.5,24,26.8,20899,1300,14773,24269,35.5,53.33336667,80.0001,18,156481000,29678000,13945000,0,0,8523000,0,401000,13042000,52110000,0,169523000,81788000,13945000,51046000,79000,7486000,59569000,79000,7887000,229092000,0,0,17,10,6.6,31.6017316,1.9,30,12,2,27,204,630,180,55,20,385,1.3,72.7,Bien
3,Angola,26,4,22.5,0,7618809000,39.64,181,50,51.6,22.5,88.6,49,28.2,75.4,677161000,0,9,3.084885865,32,17,477,40,96,87.9,103.7,48.7,156.9,148.9,164.6,104291,5400,53164,169310,17.7,47.77776667,73.3333,34,5547690000,5901489000,185289000,0,70000000,1863245000,1117883000,265803000,16686000,329628000,10379000,5564376000,6231117000,195668000,398214000,269809000,145690000,2261459000,1387692000,481493000,7825835000,0,0,10,7,21.7,36.81818182,3.3,30,8,1,30,203,1296,145,190,36,282,2.591785792,48.4,Bien
4,Antigua and Barbuda,1,4,9.5,0,13645323662,59.7,104,29,72.29814518,65.98358183,78.69736462,97.9,97.9,97.9,2367048074,382061313,10.7,0.758700851,2851.535211,2,171.0704225,50,5.8,5.2,6.3,4.9,8.1,7.3,8.8,9,10793.52113,7,12,5.3,57.7778,63.3334,4,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,0,16,7,25.9,11.11111111,0,60,8,5,57,110,351,42,39,21,207,3,41.9,Bien
6,Argentina,50,7,9.7,8,13645323662,56.78,121,39,96.4,98.3,96.2,99.1,100,99,2367048074,382061313,29.3,0.126378674,790,40,52,100,11.1,10,12.2,6.3,12.5,11.3,13.7,8464,390,4797,9513,108.1,95.55556667,86.6667,70,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,100,21,7,0,36.18677043,42.6,100,14,2,9,341,590,92,51.5,25,405,2.8,137.4,Bien
7,Armenia,15,5,1,8,171240000,74.22,35,3,89.5,78.2,96.2,100,100,100,64023000,0,0,0.042664932,2300,8,25,100,12.6,11.1,13.9,7.4,14.1,12.5,15.6,513,10,301,577,0.8,93.33333333,80,71,33949000,55370000,5395000,0,42000000,622000,725000,136000,28051000,115145000,16492000,62000000,170515000,21887000,0,0,0,622000,725000,42136000,62622000,0,94.1,18,3,19.1,10.6870229,0,100,2,5,10,84,570,180,7,3,313,1.9,19.9,Bien
8,Australia,50,8,0.7,7,13645323662,80.08,13,111,100,100,100,100,100,100,2367048074,382061313,21.1,0.011521205,8700,56,6,56.89806865,3,2.7,3.3,2.2,3.8,3.4,4.1,896,19,657,1146,0.5,66.21412289,78.47684491,92,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,100,10,5,26,26.66666667,0,63.26745511,3,11,11,112,395,75,4.5,2.5,105,1,47.6,Bien
9,Austria,12,5,0.3,7,13645323662,78.38,21,11,100,100,100,100,100,100,2367048074,382061313,34.3,0.005491818,18200,3,4,56.89806865,2.9,2.6,3.1,2.1,3.5,3.2,3.9,239,3,173,288,0.6,66.21412289,78.47684491,21,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,52.8,11,3,16.8,30.6010929,2.2,63.26745511,8,5,12,223,397,23,20.5,22,166,1.1,51.7,Bien
10,Azerbaijan,18,10,1.2,6,570976000,67.8,63,12,89.3,86.6,91.6,87,77.8,94.7,88870000,0,24.8,0.062498517,1600,6,25,60,27.9,25.8,29.8,18.2,31.7,29,34.2,6519,48,4267,7206,2.1,67.7778,83.3334,42,87066000,140887000,7595000,0,27248000,165855000,178199000,17898000,144914000,251890000,34834000,231980000,392777000,42429000,24844000,0,1295000,190699000,178199000,46441000,422679000,0,0,18,3,12.9,15.57377049,33.6,60,2,2,7,203,277,87,8.5,3,195,1.5,39.8,Bien
